Patriotic Drop Shop,663
Environmental Defense Action Fund,657
the League of Women Voters,651
Abortion On Our Own Terms,651
FRIENDS OF GENTNER DRUMMOND 2018,649
Chad Benson,639
Conservation Ohio and not authorized by any candidate, candidate's committee, or political party,635
Rosen for Nevada,621
Ryan Hampton,612
Committee To Elect Mark West,610
Humane Society International,585
JVMI,580
Caroline Self for Senate, PO Box 714, Florence, AL 35631,578
Patriot Depot,576
Sal Peer,533
Boredom Therapy LLC,531
James Dolan for Alabama House District 1 110B Tuscaloosa St. Florence, AL 35630 ,529
FreedomWorks,528
Citizens for Art,521
Penzeys,517
Ann Collins for Monroe County,517
IVN News,514
Unite America Inc.,512
No Kid Hungry,510
The Palestine Institute for Public Diplomacy,503
Ron Gladden,502
The Whiskey Patriots,490
NRDC Action Fund,486
Giffords PAC.,465
Be a Hero PAC,455
Philip Levine, Democrat, for Governor,454
FirstQuoteHealth,452
Facts and Logic about the Middle East (FLAME),449
Judith for Arkansas,441
Mallory Hagan for Congress,436
Tee Shirt Palace,433
Kialo,430
Planned Parenthood Action Fund.,427
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,421
the National Democratic Redistricting Committee,417
Paid for by Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Major funding by H.G. Fenton Company and Sudberry Properties.,416
Animal Matters,416
Americans for Farmers and Families,409
Brandi Duvall for Circuit Court Clerk,399
Chris Elliot for State Senate,393
NextTribe ,390
Dodson for Senate – Wyoming First,387
LG&E and KU,386
The Arena PAC,381
2A4LIFELLC,381
Topic,380
Libertarian Party of the Tennessee Valley,376
EMILY's List,375
Mercy For Animals,373
The Nib,370
Leo Phillips for Judge Committee,370
Republican Liberty Caucus,368
McKenzie Healthcare Advocacy, LLC,367
Friends of Sherrod Brown,366
I Love My Freedom,364
Nick Adams,360
Greater Half,358
Republican State Leadership Committee,355
Republicans for the Rule of Law,354
TAKE BACK CALIFORNIA PAC,352
Kimberlin Brown Pelzer For Congress,349
the White Coat Waste Project, Inc,344
Media Research Center,344
Rebuilding America Now Super PAC,339
Oxfam America,337
Diversity Incorporated,336
Joe Kennedy for Congress.,335
Grabien,331
Peter G. Peterson Foundation,326
Americans for Prosperity,320
Sandy Hook Promise,315
Arkansans for Jobs and Justice ,313
2A4LIFE LLC,310
McKissick for NC Senate,309
Secure America Now,307
Manhattan Institute,301
Proud Americans Supply,298
American Friends of Magen David Adom,297
Oklahomans Against SQ 793,296
Cathy for Congress,293
Bird + Stone ,290
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,287
Liberty Justice Center,287
Organization for Competitive Markets,285
Jim Francis for Congress,284
Tim Canova For Congress 2018,281
