Marc Friedenberg for Congress,"[60, 120]"
Paul Davis,"[59, 229]"
Gina Raimondo,"[58, 336]"
LocalSaver,"[57, 284]"
Austin Petersen,"[57, 284]"
Sean Patrick Maloney,"[57, 237]"
Ja'Mal Green,"[56, 278]"
Andrew Gillum,"[56, 152]"
Audible,"[56, 124]"
Kurt J Kober,"[56, 113]"
AARP Livable Communities,"[56, 111]"
TradeVistas,"[55, 1274]"
David Garcia,"[55, 277]"
Reality Bites,"[55, 273]"
Young Democrats of America College Caucus,"[54, 271]"
Patriot Depot,"[54, 167]"
Headline Shirts,"[53, 265]"
Jennifer Lewis for Congress,"[52, 261]"
Williams,"[52, 258]"
Mayor Philip Levine,"[52, 258]"
iSideWith.com,"[52, 105]"
